Assamese_Sentence	English_Translation
বিষয়টোক লৈ সৃষ্টি হৈ থকা এনে প্রতিক্রিয়াৰ মাজতে চি আই ডিয়ে প্রাৰম্ভিক অনুসন্ধানত এমট্র’নৰ উক্ত ধনৰাশিৰ বৃহৎ অংশ চেন্নাইস্থিত এটা একাউণ্টলৈ হস্তান্তৰৰ তথ্য লাভ কৰিছে৷	Amid such backlash over the issue, the CID, in its initial investigation, has found that a large part of the said amount of AMTRON was transferred to an account based in Chennai.
ধুবুৰী জিলাত কোভিড আক্ৰান্তৰ সংখ্যা যথেষ্ট বৃদ্ধি পাইছে।	There has been a significant increase in the number of COVID cases in Dhubri district.
উল্লেখ্য যে, ৰাফেল যুঁজাৰু বিমান ক্ৰয় প্ৰক্ৰিয়াত জড়িত আছিল আৰ কে এছ ভাদৌৰিয়া।	It may be recalled that RKS Bhadauria was involved in the process of procuring Rafale fighter jets.
ই সাহিত্যৰ ভেটি নিৰ্মাণ কৰিব নোৱাৰে।	It cannot form the foundation of literature.
ডাঃ কৃষ্ণ চন্দ্ৰ নাৰ্জাৰীয়ে উপস্থিত লোকসকলক কৃতজ্ঞতা জ্ঞাপন কৰা অনুষ্ঠানটোত আয়োজকসকলৰ তৰফৰ পৰা কেইবাজনো বিশেষজ্ঞই মন্তব্য প্ৰদান কৰি কয় যে, বৰ্তমান সময়ত কাৰ্ডিঅ’ ভাছকুলাৰ বিভাগৰ চিকিৎসাৰ মান ক্ৰমে বৃদ্ধি পোৱা দেখিবলৈ পোৱা গৈছে।	Dr. Krishna Chandra Narzary expressed his gratitude to the people present and several experts gave their comments on behalf of the organizers and said that the quality of treatment in the cardiovascular department is gradually increasing these days.
প্ৰত্যেক বছৰেই মহঘুলিত নৌকা খেলৰ এক ঐতিহাসিক পৰম্পৰা আছে।	There is a historical tradition of boat races in Mahagholi every year.
নিয়মীয়া বাৰ্তা, ২৮ ফেব্ৰুৱাৰীঃ ডেনমার্কৰ সাহায্যৰে ভাৰতত নির্মিত প্রথমখন স্থায়ী ক’ভিড চিকিৎসালয় দেওবাৰে কলিয়াবৰৰ উলুৱনিত মুকলি কৰে ৰাজ্যৰ স্বাস্থ্যমন্ত্রী কেশৱ মহন্তই৷	Regular message, 28 February: State Health Minister Keshab Mahanta on Sunday inaugurated the first permanent COVID hospital built in India with the help of Denmark at Uluwan, Kaliabor.
তেওঁলোকৰ দাবী, মঙলদৈ, কলাইগাঁও, ছিপাঝাৰৰ চৰকাৰী ভূমিতো চৰকাৰে উচ্ছেদিতক দিয়ক সংস্থাপন।	Their demand is that the government should also evict them from the government land in Mandanga, Kalaigaon, Chupajhar.
বাতৰি চেনেলটোৰ সোণাল নামৰ এগৰাকী এংকৰে মুখ্যমন্ত্ৰী সৰ্বানন্দ সোণোৱাল ৬ সন্তানৰ পিতৃ বুলি এক বাতৰিত মন্তব্য কৰাৰ পাছত সেই মন্তব্যক লৈ তীব্ৰ প্ৰতিক্ৰিয়াৰ সৃষ্টি হৈছিল।	The comment caused a furore after an anchor of the news channel, Sonal, commented on a news report that Chief Minister Sarbananda Sonowal was the father of 6 children.
তাৰপাছত আগবাঢ়ি আহি সেই ফৰিং পাকিস্তানত ধ্বংসলীলা চলায়।	Then the fringe came forward and wreaked havoc in Pakistan.
জাঁপিৰে সজোৱা ই-ৰিক্সাত উঠি প্ৰৱেশ কৰণ-বিকিৰ, অসমীয়াতে সুধিলে- কি খবৰ	Entering an e-rickshaw decked with jeeps - Bikir, asks in Assamese - what's the news?
উল্লেখনীয় বিষয় যে, ট্রাম্পে কফী টেবুল বুকৰে যোৱা এবছৰত ৫০৬ কোটি টকা আয় কৰিছে।	Notably, Trump has earned Rs 506 crore in the last one year from the coffee table book.
সেইদিনা সকলো প্ৰস্তুতিৰ নামত কেইবালক্ষাধিক টকা ব্যয় কৰা হৈছিল যদিও মন্ত্ৰী ৰিহণ দৈমাৰীয়ে এই ভৱন উদ্বোধন কৰিবলৈ নহাত ভৱনটোত ভগা বিয়া সদৃশ এক পৰিৱেশৰ সৃষ্টি হৈছিল।	A few lakhs of rupees were spent in the name of all preparations on that day, but when Minister Rihanna Daimary did not come to inaugurate the building, an atmosphere resembling that of a marriage was created in the building.
আনহাতে, ওদালগুৰি জিলাৰ পানেৰী আৰু ৰৌতাৰ দুখন নিৰ্বাচনী সভাতো প্ৰচাৰ চলাব সোণোৱালে।	On the other hand, Sonowal will also campaign in two election meetings at Paneri and Routa in Udalguri district.
কেন্দ্রীয় মন্ত্রীগৰাকীৰ আগমনক লৈ ৰাজ্যিক বিজেপিয়ে আয়োজন কৰা বিশেষ আদৰণী কার্যসূচী অনুসৰি বিমানবন্দৰৰ পৰা ওলোৱাৰ পাছতেই সর্বানন্দ সোণোৱালক গায়ন–বায়ন, জনগোষ্ঠীয় নৃত্য, বিহু আদিৰে কার্যকর্তাসকলে বিশেষভাৱে সম্বর্ধনা জনায়৷	As per the special welcome program organized by the state BJP on the arrival of the Union Minister, Sarbananda Sonowal was specially felicitated by the workers with singing, singing, ethnic dance, Bihu etc., as soon as he came out of the airport.
কম্পাৰ্টমেণ্টেল পৰীক্ষাৰ ফলাফল  উপলব্ধ হ’ব  www.sebaonline.org ৱেবছাইটত।	The results of the compartmental exams will be available on the www.sebaonline.org website.
প্রাপ্ত তথ্য মতে, চুনাৰী থানাৰ অন্তর্গত বহুকেহটা চৰত একাংশ ড্রাগ্ছ ব্যৱসায়ীয়ে মাৰাত্মক ড্রাগ্ছ আফিং খেতি কৰি আহিছিল৷	According to the information received, some drug dealers were cultivating deadly drugs in many chars under Sunari police station.
প্রণৱ মুখার্জী, হামিদ আনছাৰি যেতিয়া ৰাষ্ট্রপতি আৰু উপ–ৰাষ্ট্রপতি পদত নির্বাচনত অৱতীর্ণ হৈছিল, তেতিয়াও এ আই ইউ ডি এফে কংগ্রেছক সমর্থন দিছিল৷	The AIUDF also supported the Congress when Pranab Mukherjee and Hamid Ansari were elected President and Vice-President.
শ্লুইছ গেটেৰে সোমাৱা পানীত ডুব গৈছে উজানবজাৰৰ বাট-পথো।	The water flowing through the sluice gate has also submerged the roads in the upstream.
তেওঁৰ সৈতে আজি এক সৌহার্দ্যপূর্ণ আলোচনা হয়৷	A cordial discussion took place with him today.
উল্লেখ্য যে অলিম্পিকত পদক জয় কৰি দেশলৈ ওভতা খেলুৱৈসকলক সম্বর্ধনা জ্ঞাপনক লৈ দল–সংগঠনৰ মাজত হেতা–ওপৰা লাগি থকাৰ সময়তে পেৰিছ অলিম্পিকৰ প্রতি লক্ষ্য ৰাখি চানুৱে অনুশীলন আৰম্ভ কৰাটো তাৎপর্যপূর্ণ বিবেচিত হৈছে৷	It is to be noted that Chanu's start to practice assumes significance in view of the Paris Olympics when there is a tussle between the team and the organization over the felicitation of athletes who have won medals for the country in the Olympics.
দেওবাৰে বিয়লি দুখন কেবল কাৰে সমুখা সমুখিকৈ খুন্দিওৱাত দুর্ঘটনাটো ঘটে।	The accident occurred on Sunday when two cable cars collided head-on.
ধুবুৰীত বিজেপিৰ পৌৰসভা নিৰ্বাচনৰ সংকল্প পত্ৰ উন্মোচন	BJP releases manifesto for civic polls in Dhubri
এই ভয়াবহ দুৰ্নীতি সন্দৰ্ভত বোকাখাতৰ কৃষি বিষয়া সম্পূৰ্ণ নিমাত৷	Agrarian officers are in complete disarray over this horrendous corruption.
